Year,Annual_Rate,Annual_Rate_Error,Cumulative_Value,Cumulative_Error,Lower_CI_95,Upper_CI_95
2016,73.23871893672482,6.168405952131166,1506.7785467375122,188.47413583578154,61.14864327054774,85.32879460290191
2017,76.49832477065983,6.853623999594728,1583.2768715081727,189.08655322087398,63.06522173145417,89.9314278098655
2018,79.91391328854024,7.674116832645194,1663.1907847967132,189.37629296183613,64.87264429655566,94.95518228052482
2019,83.49353287525736,8.634558249602604,1746.6843176719713,189.3930171175254,66.56979870603625,100.41726704447846
2020,87.24568949268615,9.740310501406897,1833.9300071646564,189.21666448528072,68.15468090992863,106.33669807544368
2021,91.17937538053071,10.997991735844902,1925.109382545188,188.9673852339265,69.62331157827471,112.73543918278672
2022,95.3040997579816,12.415794104971452,2020.4134823031695,188.81758600831853,70.96914331223756,119.63905620372564
2023,99.62992166134104,14.00364915485684,2120.043403964508,189.00560222323978,72.18276931782164,127.07707400486045
2024,104.16746250653028,15.77330250312625,2224.21086647104,189.84951182427247,73.25178960040284,135.08313541265773
2025,108.58227755808936,18.095468510399126,2332.793144029129,191.69586156431532,73.11515927770708,144.04939583847164
